# basename,datetime,site,mode,raw_size,7z_size
COVIS-20180729T050000-survey1,2018-07-29 05:00:00,Ashes,survey1,837437770,16384732
COVIS-20180729T052041-survey2,2018-07-29 05:20:41,Ashes,survey2,837437769,17686867
COVIS-20180729T144948-imaging,2018-07-29 14:49:48,Ashes,imaging,1559363172,265181263
COVIS-20180729T160020-diffuse,2018-07-29 16:00:20,Ashes,diffuse,8440227,3229448
COVIS-20180729T160210-diffuse,2018-07-29 16:02:10,Ashes,diffuse,8440244,3274566
COVIS-20180729T160424-diffuse,2018-07-29 16:04:24,Ashes,diffuse,8440223,3330346
COVIS-20180729T193809-survey3,2018-07-29 19:38:09,Ashes,survey3,837437671,17349064
COVIS-20180729T200504-diffuse,2018-07-29 20:05:04,Ashes,diffuse,8440229,3269718
COVIS-20180729T201144-diffuse,2018-07-29 20:11:44,Ashes,diffuse,8440247,3167882
COVIS-20180729T201816-diffuse,2018-07-29 20:18:16,Ashes,diffuse,8440235,3116291
COVIS-20180729T210118-diffuse,2018-07-29 21:01:18,Ashes,diffuse,8440234,3299013
COVIS-20180729T210502-diffuse,2018-07-29 21:05:02,Ashes,diffuse,8440238,3317594
COVIS-20180729T210624-diffuse,2018-07-29 21:06:24,Ashes,diffuse,8440229,3335253
COVIS-20180729T212653-diffuse3,2018-07-29 21:26:53,Ashes,diffuse3,8440239,3178950
COVIS-20180729T212932-diffuse3,2018-07-29 21:29:32,Ashes,diffuse3,8440239,3231550
COVIS-20180729T213028-diffuse3,2018-07-29 21:30:28,Ashes,diffuse3,8440238,3235617
COVIS-20180729T214855-diffuse2,2018-07-29 21:48:55,Ashes,diffuse2,8440240,3197518
COVIS-20180729T215158-diffuse2,2018-07-29 21:51:58,Ashes,diffuse2,8440249,3294948
COVIS-20180729T215315-diffuse2,2018-07-29 21:53:15,Ashes,diffuse2,8440241,3284825
COVIS-20180729T215605-diffuse2,2018-07-29 21:56:05,Ashes,diffuse2,8440250,3293453
COVIS-20180729T215657-diffuse2,2018-07-29 21:56:57,Ashes,diffuse2,8440250,3288793
COVIS-20180729T215749-diffuse2,2018-07-29 21:57:49,Ashes,diffuse2,8440246,3319540
COVIS-20180729T215936-diffuse2,2018-07-29 21:59:36,Ashes,diffuse2,8440230,3300690
COVIS-20180729T220027-diffuse2,2018-07-29 22:00:27,Ashes,diffuse2,8440236,3294398
COVIS-20180729T220121-diffuse2,2018-07-29 22:01:21,Ashes,diffuse2,8440238,3310180
COVIS-20180729T220313-diffuse2,2018-07-29 22:03:13,Ashes,diffuse2,8440238,3314634
COVIS-20180729T220459-diffuse2,2018-07-29 22:04:59,Ashes,diffuse2,8440229,3299079
COVIS-20180729T220613-diffuse2,2018-07-29 22:06:13,Ashes,diffuse2,8440238,3294394
COVIS-20180729T220705-diffuse2,2018-07-29 22:07:05,Ashes,diffuse2,8440241,3289590
COVIS-20180729T220845-diffuse3,2018-07-29 22:08:45,Ashes,diffuse3,8440249,2989103
COVIS-20180729T221120-diffuse3,2018-07-29 22:11:20,Ashes,diffuse3,8440249,3199736
COVIS-20180729T221235-diffuse3,2018-07-29 22:12:35,Ashes,diffuse3,8440249,3230324
COVIS-20180729T221326-diffuse3,2018-07-29 22:13:26,Ashes,diffuse3,8440234,3221033
COVIS-20180729T221449-diffuse3,2018-07-29 22:14:49,Ashes,diffuse3,8440248,3191557
COVIS-20180729T221540-diffuse3,2018-07-29 22:15:40,Ashes,diffuse3,8440247,3212841
COVIS-20180729T221633-diffuse3,2018-07-29 22:16:33,Ashes,diffuse3,8440250,3208788
COVIS-20180729T221746-diffuse3,2018-07-29 22:17:46,Ashes,diffuse3,8440250,3221443
COVIS-20180729T221839-diffuse3,2018-07-29 22:18:39,Ashes,diffuse3,8440242,3232497
COVIS-20180729T221931-diffuse3,2018-07-29 22:19:31,Ashes,diffuse3,8440249,3228143
COVIS-20180729T222039-diffuse3,2018-07-29 22:20:39,Ashes,diffuse3,8440247,3203514
COVIS-20180729T222132-diffuse3,2018-07-29 22:21:32,Ashes,diffuse3,8440246,3198157
COVIS-20180729T222225-diffuse3,2018-07-29 22:22:25,Ashes,diffuse3,8440245,3210988
COVIS-20180729T222636-diffuse3,2018-07-29 22:26:36,Ashes,diffuse3,8440242,3187551
COVIS-20180729T222728-diffuse3,2018-07-29 22:27:28,Ashes,diffuse3,8440237,3185756
COVIS-20180729T222822-diffuse3,2018-07-29 22:28:22,Ashes,diffuse3,8440405,3161658
COVIS-20180729T223618-diffuse3,2018-07-29 22:36:18,Ashes,diffuse3,8440238,3232979
COVIS-20180729T223748-diffuse3,2018-07-29 22:37:48,Ashes,diffuse3,8440240,3242244
COVIS-20180729T224740-diffuse3,2018-07-29 22:47:40,Ashes,diffuse3,8440235,3173933
COVIS-20180729T233039-diffuse3,2018-07-29 23:30:39,Ashes,diffuse3,8440235,3281689
COVIS-20180729T233133-diffuse3,2018-07-29 23:31:33,Ashes,diffuse3,8440236,3294358
COVIS-20180729T233227-diffuse3,2018-07-29 23:32:27,Ashes,diffuse3,8440238,3296160
COVIS-20180729T233727-diffuse3,2018-07-29 23:37:27,Ashes,diffuse3,8440240,3232404
COVIS-20180729T233820-diffuse3,2018-07-29 23:38:20,Ashes,diffuse3,8440234,3255917
COVIS-20180729T233913-diffuse3,2018-07-29 23:39:13,Ashes,diffuse3,8440249,3246053
COVIS-20180729T234108-diffuse3,2018-07-29 23:41:08,Ashes,diffuse3,8440233,3222572
COVIS-20180729T234201-diffuse3,2018-07-29 23:42:01,Ashes,diffuse3,8440258,3223049
COVIS-20180729T234254-diffuse3,2018-07-29 23:42:54,Ashes,diffuse3,8440250,3198368
COVIS-20180729T234347-diffuse1,2018-07-29 23:43:47,Ashes,diffuse1,8440250,3154004
COVIS-20180729T234513-diffuse1,2018-07-29 23:45:13,Ashes,diffuse1,8440253,3174086
COVIS-20180729T234630-diffuse1,2018-07-29 23:46:30,Ashes,diffuse1,8440256,3216777
